# Note - 
# ESC - Mamba X (F583) Firmware - 2.02(Prodcution)
# Poles - 4
# Gear Ratio - 1
# KV - 0
# Graph Data - 11 Sessions - Saved Thursday, April 24, 2025
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Number: 1
# Note - 
# Voltage Cutoff: 9.11
# Current Cutoff: ?
# Temperature Cutoff: 239.0
# Motor Temperature Cutoff: -459.4
# RX2 Mode: 0
# Throttle Cal Min: 2139
# Throttle Cal Mid: 3020
# Throttle Cal Max: 3901
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage , Motor Temp. 
True        , True        , True        , True        , True        , True        , True        , True        , True        , True        
1.6363      , 40.784      , 12.24       , 0.781       , 40.0        , 90.8        , 55180       , 0           , 5.33        , 0.00        
1.2210      , 43.529b     , 12.37       , 0.000       , -1.3        , 90.8        , 32719       , 0           , 5.33        , 0.00        
1.3385      , 20.000b     , 12.37       , 0.000       , -3.9        , 90.8        , 24868       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -3.9        , 90.8        , 30888       , 0           , 5.33        , 0.00        
1.5501      , 5.882       , 12.37       , 0.260       , -1.3        , 96.3        , 29167       , 0           , 5.33        , 0.00        
1.5815      , 13.333      , 12.37       , 0.911       , 1.3         , 96.3        , 28756       , 0           , 5.33        , 0.00        
1.5971      , 17.255      , 12.37       , 1.042       , 3.9         , 96.3        , 28278       , 0           , 5.33        , 0.00        
1.6207      , 23.529      , 12.37       , 1.432       , 12.9        , 96.3        , 28675       , 0           , 5.33        , 0.00        
1.6207      , 23.529      , 12.37       , 1.432       , 12.9        , 96.3        , 29292       , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.37       , 0.000       , 2.6         , 96.3        , 26619       , 0           , 5.33        , 0.00        
1.3934      , 9.412b      , 12.37       , 0.000       , 1.3         , 96.3        , 22914       , 0           , 5.33        , 0.00        
1.2523      , 36.863b     , 12.37       , 0.000       , -2.6        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.1191      , 61.961b     , 12.37       , 0.000       , -2.6        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.2758      , 32.157b     , 12.37       , 0.000       , -2.6        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.5109      , 0.392       , 12.37       , 0.000       , -3.9        , 96.3        , 5309        , 0           , 5.33        , 0.00        
1.5109      , 0.392       , 12.37       , 0.000       , -3.9        , 96.3        , 4886        , 0           , 5.33        , 0.00        
1.5109      , 0.392       , 12.37       , 0.000       , -3.9        , 96.3        , 4038        , 0           , 5.33        , 0.00        
1.4404      , 0.392       , 12.37       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
1.3699      , 13.333b     , 12.37       , 0.000       , -3.9        , 96.3        , 0           , 0           , 5.33        , 0.00        
