Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.4718,0.392,11.33,0.000,6.5,195.1,24510,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,17229,0,5.25,22.42
1.5580,7.059,11.33,0.391,7.7,195.1,12737,0,5.25,1.93
1.6677,36.471,10.94,1.562,34.8,195.1,15491,0,5.25,1.93
1.8558,83.137,13.28,3.646,121.3,195.1,39644,0,5.25,22.42
1.8636,89.020,12.24,2.344,125.2,195.1,57512,0,5.25,1.93
1.8558,85.490,13.54,2.734,104.5,195.1,55480,0,5.25,22.42
1.8558,85.882,12.50,2.344,94.2,195.1,58333,0,5.25,22.42
1.8558,86.275,12.63,2.344,90.3,195.1,60945,0,5.25,1.93
1.8636,87.843,11.98,1.823,89.0,195.1,63406,0,5.25,1.93
1.8636,87.059,12.24,1.042,94.2,200.6,61496,0,5.25,22.42
1.8636,87.451,12.63,2.474,103.2,200.6,59698,0,5.25,22.42
1.8636,87.059,12.37,1.042,99.4,200.6,63014,0,5.25,22.42
1.8636,88.235,12.37,1.042,92.9,200.6,62246,0,5.25,1.93
1.8636,88.627,11.72,1.562,89.0,200.6,64406,0,5.25,22.42
1.8636,87.451,12.11,1.693,80.0,200.6,67605,0,5.25,1.93
1.0878,68.627,11.20,0.000,11.6,200.6,32667,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,7141,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,4592,0,5.25,1.93
1.4796,0.392,11.20,0.000,6.5,200.6,32102,0,5.25,1.93
1.4718,0.392,11.20,0.000,6.5,200.6,30794,0,5.25,1.93
1.4718,0.392,11.20,0.000,7.7,200.6,23414,0,5.25,1.93
1.5580,7.843,11.20,0.391,6.5,200.6,14752,0,5.25,1.93
1.6677,37.255,11.07,1.432,38.7,200.6,18904,0,5.25,1.93
1.6833,41.176,11.07,1.302,49.0,200.6,22338,0,5.25,1.93
1.6755,39.216,11.20,1.562,47.7,200.6,21859,0,5.25,22.42
1.7225,50.196,10.55,0.911,59.4,200.6,22265,0,5.25,1.93
1.8636,88.627,12.24,1.823,127.7,200.6,56400,0,5.21,22.42
1.8558,86.667,12.63,2.864,123.9,200.6,54300,0,5.25,1.93
1.8558,87.059,13.02,2.344,104.5,200.6,59873,0,5.25,22.42
1.8636,87.059,12.76,2.344,92.9,200.6,61496,0,5.25,22.42
1.0878,69.020,11.20,0.000,10.3,200.6,13814,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,0,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,6051,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,0,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,0,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,6394,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,0,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,0,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.20,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,7.7,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,7.7,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,7.7,200.6,0,0,5.25,22.42
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,200.6,0,0,5.25,1.93
1.8636,87.843,13.67,2.864,125.2,200.6,27553,0,5.25,35.97
1.8636,87.843,13.67,2.864,125.2,200.6,27553,0,5.25,35.97
1.8636,87.843,12.63,2.734,120.0,200.6,57838,0,5.21,22.42
1.8636,87.059,12.37,0.781,120.0,200.6,55631,0,5.25,22.42
1.8636,88.235,12.89,2.474,123.9,200.6,58333,0,5.25,22.42
1.8636,88.235,12.24,2.604,121.3,200.6,54590,0,5.25,22.42
1.8558,85.098,11.98,1.042,104.5,200.6,58002,0,5.21,1.93
1.8558,87.059,12.24,2.213,91.6,200.6,63802,0,5.25,22.42
1.0878,68.627,11.20,0.000,14.2,200.6,35080,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,0,0,5.25,1.93
1.0878,68.627,11.20,0.000,6.5,200.6,0,0,5.25,1.93
1.4796,0.392,11.20,0.000,6.5,200.6,18020,0,5.25,1.93
1.4796,0.392,11.20,0.000,6.5,200.6,22535,0,5.25,1.93
1.4718,0.392,11.20,0.000,7.7,200.6,14218,0,5.25,1.93
1.5815,12.549,11.20,0.911,15.5,206.1,10475,0,5.25,1.93
1.5423,2.353,11.20,0.000,10.3,206.1,10422,0,5.25,1.93
1.5893,14.902,11.20,0.651,11.6,206.1,10122,0,5.25,22.42
1.6755,38.824,10.94,1.302,40.0,206.1,14615,0,5.25,22.42
1.8009,71.765,12.11,1.953,109.7,206.1,38522,0,5.25,22.42
1.7147,47.843,10.81,0.911,56.8,200.6,31951,0,5.25,1.93
1.7225,51.373,10.81,0.781,50.3,206.1,36200,0,5.25,22.42
1.8244,78.431,11.85,2.213,85.2,200.6,45270,0,5.25,1.93
1.8636,88.235,12.24,2.344,109.7,206.1,58669,0,5.25,1.93
1.8558,86.275,11.85,2.474,107.1,206.1,57674,0,5.25,22.42
1.8479,84.314,11.85,2.213,100.6,206.1,58500,0,5.25,22.42
1.8636,88.235,12.24,2.344,96.8,206.1,60764,0,5.21,22.42
1.8636,88.627,13.02,2.474,96.8,206.1,61682,0,5.25,22.42
1.8636,88.627,12.11,2.213,83.9,206.1,64406,0,5.21,1.93
1.8636,87.451,11.72,1.953,80.0,206.1,66504,0,5.25,1.93
