Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.5658,8.235,12.24,0.911,10.3,140.2,4397,0,5.29,0.00
1.5971,18.431,12.11,1.823,18.1,140.2,5577,0,5.29,0.00
1.7147,47.843,11.59,1.432,52.9,140.2,14338,0,5.29,0.00
1.6677,35.294,12.11,1.693,37.4,140.2,21245,0,5.29,0.00
1.7225,51.765,11.59,1.172,51.6,140.2,29084,0,5.29,0.00
1.7617,60.392,11.33,0.781,72.3,140.2,37949,0,5.33,0.00
1.7147,48.627,11.72,1.042,46.5,140.2,39491,0,5.29,0.00
1.8401,82.353,12.24,2.864,90.3,140.2,49555,0,5.33,0.00
1.7774,67.059,11.98,0.260,92.9,140.2,61128,0,5.33,0.00
1.5109,0.392,12.11,0.000,9.0,140.2,49079,0,5.29,0.00
1.5031,0.392,12.11,0.000,2.6,140.2,45471,0,5.29,0.00
1.5031,0.392,12.11,0.000,1.3,140.2,40111,0,5.29,0.00
1.6207,24.706,12.11,1.302,9.0,140.2,35446,0,5.29,0.00
1.6520,32.157,12.11,1.432,19.4,140.2,35819,0,5.29,0.00
1.6990,43.922,11.85,1.042,37.4,140.2,38449,0,5.29,0.00
1.5188,0.392,12.11,0.000,14.2,140.2,35945,0,5.29,0.00
1.5580,6.275,12.11,0.260,3.9,140.2,33252,0,5.29,0.00
1.5971,17.255,12.11,0.781,10.3,140.2,32051,0,5.29,0.00
1.5893,16.078,12.11,1.042,9.0,140.2,30292,0,5.29,0.00
1.5971,16.471,12.11,0.911,9.0,140.2,27740,0,5.29,0.00
1.6598,32.157,12.11,1.562,18.1,140.2,27854,0,5.29,0.00
1.6912,42.353,11.85,1.302,37.4,140.2,30888,0,5.29,0.00
1.7225,50.980,11.33,0.911,50.3,140.2,35262,0,5.29,0.00
1.7225,51.373,11.59,0.391,46.5,140.2,39567,0,5.29,0.00
1.7304,52.941,11.33,0.781,49.0,145.7,43164,0,5.29,0.00
1.7617,60.392,11.33,0.521,51.6,145.7,46935,0,5.33,0.00
1.7774,65.490,11.59,0.391,54.2,145.7,49197,0,5.33,0.00
1.8401,82.353,13.80,2.604,81.3,145.7,57190,0,5.33,0.00
1.8087,74.118,12.24,1.302,72.3,145.7,67382,0,5.33,0.00
1.4874,0.392,12.11,0.000,9.0,145.7,54884,0,5.29,0.00
1.2915,29.020,12.11,0.000,-1.3,145.7,32772,0,5.29,0.00
1.2758,32.157,12.11,0.000,-2.6,145.7,33635,0,5.29,0.00
1.5109,0.392,12.11,0.000,-1.3,145.7,33198,0,5.29,0.00
1.5031,0.392,12.11,0.000,0.0,145.7,34722,0,5.29,0.00
1.5109,0.392,12.11,0.000,0.0,145.7,32614,0,5.29,0.00
