Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.8636,88.235,13.02,2.864,117.4,156.7,58838,0,5.29,1.93
1.8714,89.412,12.76,1.562,117.4,156.7,58838,0,5.29,1.93
1.8636,89.020,12.76,2.734,114.8,156.7,58333,0,5.29,1.93
1.8636,88.235,13.02,2.734,113.5,156.7,56400,0,5.29,1.93
1.8636,87.059,12.50,2.734,114.8,156.7,58838,0,5.29,1.93
1.8714,89.412,12.76,1.172,104.5,156.7,61869,0,5.29,1.93
1.1975,47.843,11.20,0.000,41.3,156.7,54444,0,5.29,1.93
1.0878,68.235,11.59,0.000,1.3,156.7,5703,0,5.29,1.93
1.0878,68.235,11.59,0.000,0.0,156.7,0,0,5.29,1.93
1.4796,0.392,11.59,0.000,0.0,156.7,0,0,5.29,1.93
1.4796,0.392,11.59,0.000,0.0,156.7,27854,0,5.29,1.93
1.4796,0.392,11.59,0.000,1.3,156.7,23630,0,5.29,1.93
1.4796,0.392,11.59,0.000,1.3,156.7,17738,0,5.29,1.93
1.5344,0.000,11.59,0.000,0.0,156.7,13318,0,5.29,1.93
1.6128,20.392,11.59,1.302,16.8,156.7,14490,0,5.29,1.93
1.6207,24.314,11.72,1.693,18.1,156.7,15214,0,5.29,1.93
1.6520,31.765,11.59,1.693,29.7,156.7,19153,0,5.29,1.93
1.6442,30.588,11.59,1.432,25.8,156.7,22635,0,5.29,1.93
1.6363,28.627,11.72,1.562,23.2,156.7,25299,0,5.29,1.93
1.6442,29.804,11.59,1.432,23.2,162.2,26970,0,5.29,1.93
1.6677,36.078,11.59,1.432,28.4,156.7,29762,0,5.29,1.93
1.7931,68.627,11.33,1.042,74.8,156.7,41582,0,5.29,1.93
1.8401,81.569,12.76,2.604,92.9,156.7,49676,0,5.29,1.93
1.8714,89.412,12.50,1.562,105.8,156.7,65021,0,5.29,1.93
1.8714,89.412,13.02,2.864,104.5,156.7,62436,0,5.29,1.93
1.8714,89.804,13.02,1.172,100.6,156.7,64406,0,5.29,1.93
1.8714,89.412,11.98,1.562,89.0,162.2,63603,0,5.29,1.93
1.8636,88.627,12.37,0.911,80.0,162.2,67605,0,5.29,1.93
1.2523,36.078,11.59,0.000,5.2,162.2,59351,0,5.29,1.93
1.0878,68.235,11.59,0.000,0.0,162.2,5828,0,5.29,1.93
1.0878,68.235,11.59,0.000,1.3,162.2,0,0,5.29,1.93
1.0878,68.235,11.59,0.000,0.0,162.2,0,0,5.29,1.93
1.4796,0.392,11.59,0.000,1.3,162.2,29042,0,5.29,1.93
1.4796,0.392,11.59,0.000,1.3,162.2,26794,0,5.29,1.93
1.5344,0.000,11.59,0.000,1.3,162.2,23991,0,5.29,1.93
1.5658,10.196,11.59,0.651,3.9,162.2,22560,0,5.29,1.93
1.6207,24.706,11.59,1.302,15.5,162.2,22940,0,5.29,1.93
1.6207,23.922,11.59,1.172,16.8,162.2,24364,0,5.29,1.93
1.6520,32.941,11.59,1.432,23.2,162.2,26344,0,5.29,1.93
1.6677,36.078,11.46,1.302,29.7,162.2,29084,0,5.29,1.93
1.6598,34.902,11.46,1.172,31.0,162.2,34142,0,5.29,1.93
1.6207,23.529,11.59,1.302,16.8,162.2,30473,0,5.29,1.93
1.6207,23.922,11.59,1.172,18.1,162.2,29589,0,5.29,1.93
1.6207,24.706,11.59,1.432,18.1,162.2,27479,0,5.29,1.93
1.8166,76.078,12.63,1.953,74.8,162.2,39263,0,5.29,1.93
1.8714,89.412,12.50,2.604,111.0,162.2,59351,0,5.29,1.93
1.4953,0.392,11.59,0.000,21.9,162.2,37462,0,5.29,1.93
1.0878,68.627,11.59,0.000,3.9,162.2,24248,0,5.29,1.93
